SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,Target_Location,Target_Duration
0,10_16,9_43_14,19.49398,1,0,0,2,1.002928,4,1.002928
0,10_16,9_43_15,20.50179,1,0,0,2,1.00297,4,1.00297
0,10_16,9_43_16,21.50771,1,0,0,2,1.001877,4,1.001877
0,10_16,9_43_17,22.51354,1,0,0,2,1.001379,0,1.001379
0,10_16,9_43_18,23.5184,1,0,0,2,1.00153,5,1.00153
0,10_16,9_43_19,24.52434,1,0,0,2,1.001537,0,1.001537
0,10_16,9_43_20,25.53098,1,0,0,2,1.001419,4,1.001419
0,10_16,9_43_21,26.53659,1,0,0,2,1.00172,5,1.00172
SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,Target_Location,Target_Duration
0,10_16,9_43_37,2.9047,1,0,0,2,1.000209,4,1.000209
0,10_16,9_43_38,3.909539,1,0,0,2,1.000337,5,1.000337
0,10_16,9_43_39,4.916039,1,0,0,2,1.002097,3,1.002097
0,10_16,9_43_40,5.920549,1,0,0,2,1.000874,5,1.000874
0,10_16,9_43_41,6.925633,1,0,0,2,1.000339,5,1.000339
0,10_16,9_43_42,7.930201,1,0,0,2,1.000161,5,1.000161
0,10_16,9_43_43,8.936806,1,0,0,2,1.002478,5,1.002478
0,10_16,9_43_44,9.942208,1,0,0,2,1.000141,1,1.000141
0,10_16,9_43_45,10.94769,1,0,0,2,1.001114,1,1.001114
0,10_16,9_43_46,11.95162,1,0,0,2,1.000488,0,1.000488
0,10_16,9_43_47,12.95662,1,0,0,2,1.000967,1,1.000967
0,10_16,9_43_48,13.96181,1,0,0,2,1.001676,0,1.001676
0,10_16,9_43_49,14.96679,1,0,0,2,1.001292,5,1.001292
0,10_16,9_43_50,15.97161,1,0,0,2,1.000515,3,1.000515
0,10_16,9_43_51,16.97868,1,0,0,2,1.002961,4,1.002961
0,10_16,9_43_52,17.98547,1,0,0,2,1.001644,0,1.001644
0,10_16,9_43_53,18.99271,1,0,0,2,1.002098,2,1.002098
0,10_16,9_43_54,19.99697,1,0,0,2,1.000872,3,1.000872
