SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,Target_Location,Target_Duration
0,10_17,17_24_55,17.72977,1,0,0,2,1.010523,1,1.010523
0,10_17,17_24_56,18.75021,1,0,0,2,1.009048,5,1.009048
0,10_17,17_24_57,19.76271,1,0,0,2,1.001724,5,1.001724
0,10_17,17_24_58,20.78403,1,0,0,2,1.010502,2,1.010502
0,10_17,17_24_59,21.80603,1,0,0,2,1.010382,4,1.010382
0,10_17,17_25_0,22.82639,1,0,0,2,1.008554,1,1.008554
0,10_17,17_25_1,23.83872,1,0,0,2,1.00102,5,1.00102
0,10_17,17_25_2,24.86019,1,0,0,2,1.010378,4,1.010378
0,10_17,17_25_3,25.87156,1,0,0,2,1.00037,3,1.00037
0,10_17,17_25_4,26.89202,1,0,0,2,1.009336,0,1.009336
