SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,Target_Location,Target_Duration
0,10_12,13_21_35,16.68399,1,0,0,2,1.000237,1,1.000237
0,10_12,13_21_36,17.70561,1,0,0,2,1.010628,5,1.010628
0,10_12,13_21_37,18.7274,1,0,0,2,1.010731,2,1.010731
0,10_12,13_21_38,19.74902,1,0,0,2,1.010721,5,1.010721
0,10_12,13_21_39,20.7711,1,0,0,2,1.010368,0,1.010368
0,10_12,13_21_40,21.79275,1,0,0,2,1.00778,1,1.00778
0,10_12,13_21_41,22.81471,1,0,0,2,1.010624,0,1.010624
0,10_12,13_21_42,23.83596,1,0,0,2,1.010317,1,1.010317
0,10_12,13_21_43,24.85797,1,0,0,2,1.010715,4,1.010715
0,10_12,13_21_44,25.87935,1,0,0,2,1.00985,5,1.00985
0,10_12,13_21_45,26.89171,1,0,0,2,1.001389,5,1.001389
0,10_12,13_21_46,27.91231,1,0,0,2,1.010994,5,1.010994
0,10_12,13_21_47,28.93369,1,0,0,2,1.010489,4,1.010489
0,10_12,13_21_48,29.9556,1,0,0,2,1.010588,0,1.010588
0,10_12,13_21_49,30.97712,1,0,0,2,1.009993,0,1.009993
0,10_12,13_21_50,31.99883,1,0,0,2,1.010445,0,1.010445
0,10_12,13_21_51,33.00996,1,0,0,2,1.000298,3,1.000298
0,10_12,13_21_52,34.03148,1,0,0,2,1.010704,3,1.010704
0,10_12,13_21_53,35.05359,1,0,0,2,1.010864,3,1.010864
0,10_12,13_21_54,36.07548,1,0,0,2,1.010864,3,1.010864
0,10_12,13_21_55,37.09714,1,0,0,2,1.010239,3,1.010239
0,10_12,13_21_56,38.11907,1,0,0,2,1.01078,4,1.01078
0,10_12,13_21_57,39.13947,1,0,0,2,1.009239,0,1.009239
0,10_12,13_21_58,40.15086,1,0,0,2,1.000217,3,1.000217
0,10_12,13_21_59,41.16481,1,0,0,2,1.002506,3,1.002506
0,10_12,13_22_0,42.19012,1,0,0,2,1.010387,0,1.010387
0,10_12,13_22_1,43.20509,1,0,0,2,1.003643,4,1.003643
0,10_12,13_22_2,44.22723,1,0,0,2,1.010971,5,1.010971
0,10_12,13_22_3,45.24844,1,0,0,2,1.010456,3,1.010456
0,10_12,13_22_4,46.27026,1,0,0,2,1.010677,4,1.010677
0,10_12,13_22_5,47.2921,1,0,0,2,1.01054,1,1.01054
0,10_12,13_22_6,48.31425,1,0,0,2,1.010487,2,1.010487
0,10_12,13_22_7,49.33566,1,0,0,2,1.009823,3,1.009823
0,10_12,13_22_8,50.35844,1,0,0,2,1.011475,1,1.011475
0,10_12,13_22_9,51.38,1,0,0,2,1.011467,4,1.011467
0,10_12,13_22_10,52.401,1,0,0,2,1.009998,5,1.009998
0,10_12,13_22_11,53.42282,1,0,0,2,1.010796,3,1.010796
0,10_12,13_22_12,54.44454,1,0,0,2,1.010647,1,1.010647
0,10_12,13_22_13,55.46651,1,0,0,2,1.010624,3,1.010624
0,10_12,13_22_14,56.48807,1,0,0,2,1.010368,2,1.010368
0,10_12,13_22_15,57.50984,1,0,0,2,1.010662,4,1.010662
0,10_12,13_22_16,58.53175,1,0,0,2,1.009933,4,1.009933
0,10_12,13_22_17,59.55423,1,0,0,2,1.010948,4,1.010948
0,10_12,13_22_18,60.56974,1,0,0,2,1.004757,3,1.004757
0,10_12,13_22_19,61.58581,1,0,0,2,1.009525,0,1.009525
0,10_12,13_22_20,62.59718,1,0,0,2,1.000298,1,1.000298
0,10_12,13_22_21,63.61267,1,0,0,2,1.004585,2,1.004585
0,10_12,13_22_22,64.6181,1,0,0,2,1.000038,3,1.000038
0,10_12,13_22_23,65.64047,1,0,0,2,1.011368,1,1.011368
0,10_12,13_22_31,66.65961,1,0,0,2,1.009148,3,1.009148
0,10_12,13_22_32,67.67369,1,0,0,2,1.002731,3,1.002731
0,10_12,13_22_33,68.69305,1,0,0,2,1.007347,5,1.007347
0,10_12,13_22_34,69.70738,1,0,0,2,1.003143,2,1.003143
0,10_12,13_22_35,70.72939,1,0,0,2,1.010437,3,1.010437
0,10_12,13_22_36,71.75145,1,0,0,2,1.010292,0,1.010292
0,10_12,13_22_37,72.77335,1,0,0,2,1.010155,5,1.010155
0,10_12,13_22_38,73.79412,1,0,0,2,1.009743,4,1.009743
0,10_12,13_22_39,74.80631,1,0,0,2,1.000557,0,1.000557
0,10_12,13_22_40,75.82736,1,0,0,2,1.010574,3,1.010574
0,10_12,13_22_41,76.84935,1,0,0,2,1.010178,1,1.010178
0,10_12,13_22_42,77.87115,1,0,0,2,1.01059,5,1.01059
0,10_12,13_22_43,78.89303,1,0,0,2,1.010468,3,1.010468
0,10_12,13_22_44,79.91428,1,0,0,2,1.010292,5,1.010292
0,10_12,13_22_45,80.93647,1,0,0,2,1.01033,1,1.01033
0,10_12,13_22_46,81.95776,1,0,0,2,1.010475,0,1.010475
0,10_12,13_22_47,82.97974,1,0,0,2,1.010185,2,1.010185
0,10_12,13_22_48,84.0013,1,0,0,2,1.010529,2,1.010529
0,10_12,13_22_49,85.02252,1,0,0,2,1.009926,3,1.009926
0,10_12,13_22_50,86.03426,1,0,0,2,1.000481,5,1.000481
0,10_12,13_22_51,87.05597,1,0,0,2,1.010818,4,1.010818
0,10_12,13_22_52,88.07775,1,0,0,2,1.010704,5,1.010704
0,10_12,13_22_53,89.09905,1,0,0,2,1.010132,4,1.010132
0,10_12,13_22_54,90.12072,1,0,0,2,1.010162,5,1.010162
0,10_12,13_22_55,91.13238,1,0,0,2,1.000587,0,1.000587
0,10_12,13_22_56,92.15366,1,0,0,2,1.010918,1,1.010918
0,10_12,13_22_57,93.17361,1,0,0,2,1.009056,0,1.009056
0,10_12,13_22_58,94.18584,1,0,0,2,1.001228,0,1.001228
0,10_12,13_22_59,95.20779,1,0,0,2,1.010887,2,1.010887
0,10_12,13_23_0,96.22926,1,0,0,2,1.010483,5,1.010483
0,10_12,13_23_1,97.25102,1,0,0,2,1.010498,2,1.010498
0,10_12,13_23_2,98.27277,1,0,0,2,1.010132,4,1.010132
0,10_12,13_23_3,99.29515,1,0,0,2,1.011177,5,1.011177
0,10_12,13_23_4,100.3166,1,0,0,2,1.010826,2,1.010826
0,10_12,13_23_5,101.3382,1,0,0,2,1.010544,4,1.010544
0,10_12,13_23_6,102.36,1,0,0,2,1.010597,1,1.010597
0,10_12,13_23_7,103.3818,1,0,0,2,1.010277,1,1.010277
0,10_12,13_23_8,104.4037,1,0,0,2,1.010895,0,1.010895
0,10_12,13_23_10,105.4251,1,0,0,2,1.009903,4,1.009903
0,10_12,13_23_11,106.4469,1,0,0,2,1.010567,3,1.010567
0,10_12,13_23_12,107.4688,1,0,0,2,1.010498,0,1.010498
0,10_12,13_23_13,108.4904,1,0,0,2,1.010551,2,1.010551
