SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,Target_Location,Target_Duration
0,10_16,10_0_46,2.758034,1,0,0,2,1.000195,0,1.000195
0,10_16,10_0_47,3.78033,1,0,0,2,1.011413,2,1.011413
0,10_16,10_0_48,4.801161,1,0,0,2,1.010351,0,1.010351
0,10_16,10_0_49,5.823847,1,0,0,2,1.011283,5,1.011283
0,10_16,10_0_50,6.844761,1,0,0,2,1.010499,2,1.010499
0,10_16,10_0_51,7.866877,1,0,0,2,1.010314,2,1.010314
0,10_16,10_0_52,8.888522,1,0,0,2,1.010606,5,1.010606
0,10_16,10_0_53,9.909992,1,0,0,2,1.010211,1,1.010211
0,10_16,10_0_54,10.93183,1,0,0,2,1.010283,3,1.010283
0,10_16,10_0_55,11.95286,1,0,0,2,1.009775,4,1.009775
0,10_16,10_0_56,12.96447,1,0,0,2,1.000517,0,1.000517
0,10_16,10_0_57,13.98632,1,0,0,2,1.01051,5,1.01051
0,10_16,10_0_58,15.00793,1,0,0,2,1.010212,2,1.010212
0,10_16,10_0_59,16.0297,1,0,0,2,1.010555,5,1.010555
0,10_16,10_1_0,17.05137,1,0,0,2,1.01033,1,1.01033
0,10_16,10_1_1,18.07292,1,0,0,2,1.010057,3,1.010057
0,10_16,10_1_2,19.09471,1,0,0,2,1.010361,0,1.010361
0,10_16,10_1_3,20.11672,1,0,0,2,1.010674,5,1.010674
0,10_16,10_1_4,21.13846,1,0,0,2,1.010506,2,1.010506
0,10_16,10_1_5,22.16015,1,0,0,2,1.009432,5,1.009432
