SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,Target_Location,Target_Duration
0,10_16,9_42_13,11.15307,1,0,0,2,1.00246,1,1.00246
0,10_16,9_42_14,12.1601,1,0,0,2,1.001782,2,1.001782
0,10_16,9_42_15,13.1647,1,0,0,2,1.000132,2,1.000132
0,10_16,9_42_16,14.16991,1,0,0,2,1.000657,1,1.000657
0,10_16,9_42_17,15.17481,1,0,0,2,1.000799,5,1.000799
0,10_16,9_42_18,16.17869,1,0,0,2,1.000208,1,1.000208
0,10_16,9_42_19,17.18622,1,0,0,2,1.002394,4,1.002394
0,10_16,9_42_20,18.19274,1,0,0,2,1.001644,5,1.001644
0,10_16,9_42_21,19.19669,1,0,0,2,1.000118,4,1.000118
0,10_16,9_42_22,20.20299,1,0,0,2,1.001665,2,1.001665
0,10_16,9_42_23,21.20813,1,0,0,2,1.000763,5,1.000763
0,10_16,9_42_24,22.21283,1,0,0,2,1.000612,3,1.000612
