SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,Target_Location,Target_Duration
0,10_12,12_54_22,6.67171,1,0,0,2,1.001641,4,1.001641
0,10_12,12_54_23,7.681426,1,0,0,2,1.005056,1,1.005056
0,10_12,12_54_24,8.687284,1,0,0,2,1.001234,5,1.001234
0,10_12,12_54_25,9.692155,1,0,0,2,1.00076,3,1.00076
0,10_12,12_54_26,10.69723,1,0,0,2,1.000698,1,1.000698
0,10_12,12_54_27,11.70467,1,0,0,2,1.001997,1,1.001997
0,10_12,12_54_28,12.71186,1,0,0,2,1.002929,2,1.002929
0,10_12,12_54_29,13.7182,1,0,0,2,1.001561,2,1.001561
0,10_12,12_54_30,14.72226,1,0,0,2,1.000178,2,1.000178
0,10_12,12_54_31,15.72805,1,0,0,2,1.000637,5,1.000637
0,10_12,12_54_32,16.734,1,0,0,2,1.002297,1,1.002297
0,10_12,12_54_33,17.73906,1,0,0,2,1.000744,5,1.000744
0,10_12,12_54_34,18.74369,1,0,0,2,1.000111,0,1.000111
0,10_12,12_54_35,19.74969,1,0,0,2,1.001368,0,1.001368
0,10_12,12_54_36,20.75551,1,0,0,2,1.001749,0,1.001749
0,10_12,12_54_37,21.76076,1,0,0,2,1.000912,2,1.000912
0,10_12,12_54_38,22.76861,1,0,0,2,1.002247,2,1.002247
0,10_12,12_54_39,23.77578,1,0,0,2,1.00215,2,1.00215
0,10_12,12_54_40,24.78288,1,0,0,2,1.002022,3,1.002022
0,10_12,12_54_41,25.79,1,0,0,2,1.002235,2,1.002235
0,10_12,12_54_42,26.79645,1,0,0,2,1.002016,3,1.002016
0,10_12,12_54_43,27.80213,1,0,0,2,1.001369,4,1.001369
0,10_12,12_54_44,28.80836,1,0,0,2,1.001211,0,1.001211
0,10_12,12_54_45,29.81557,1,0,0,2,1.002018,0,1.002018
0,10_12,12_54_46,30.8198,1,0,0,2,1.00008,5,1.00008
0,10_12,12_54_47,31.82511,1,0,0,2,1.000885,5,1.000885
0,10_12,12_54_48,32.83123,1,0,0,2,1.001549,0,1.001549
0,10_12,12_54_49,33.83592,1,0,0,2,1.000111,1,1.000111
0,10_12,12_54_50,34.84005,1,0,0,2,1.000381,0,1.000381
0,10_12,12_54_51,35.84674,1,0,0,2,1.001633,4,1.001633
0,10_12,12_54_52,36.85509,1,0,0,2,1.003258,4,1.003258
0,10_12,12_54_53,37.86125,1,0,0,2,1.001724,5,1.001724
0,10_12,12_54_54,38.8678,1,0,0,2,1.002048,1,1.002048
0,10_12,12_54_55,39.87237,1,0,0,2,1.000298,3,1.000298
0,10_12,12_54_56,40.87897,1,0,0,2,1.001354,2,1.001354
