SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,Target_Location,Target_Duration
0,10_16,9_59_46,2.89257,1,0,0,2,1.010809,2,1.010809
0,10_16,9_59_47,3.912365,1,0,0,2,1.008744,3,1.008744
0,10_16,9_59_48,4.924971,1,0,0,2,1.001263,0,1.001263
0,10_16,9_59_49,5.946664,1,0,0,2,1.010642,4,1.010642
0,10_16,9_59_50,6.968547,1,0,0,2,1.010678,0,1.010678
0,10_16,9_59_51,7.990394,1,0,0,2,1.010788,1,1.010788
0,10_16,9_59_52,9.012122,1,0,0,2,1.010128,5,1.010128
0,10_16,9_59_53,10.03434,1,0,0,2,1.010705,4,1.010705
0,10_16,9_59_54,11.04508,1,0,0,2,1.000002,0,1.000002
0,10_16,9_59_55,12.06598,1,0,0,2,1.009499,1,1.009499
