SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,Target_Location,Target_Duration
0,10_12,12_55_52,3.323569,1,0,0,2,1.00439,2,1.00439
0,10_12,12_55_53,4.339334,1,0,0,2,1.002321,4,1.002321
0,10_12,12_55_54,5.344871,1,0,0,2,1.001076,3,1.001076
0,10_12,12_55_55,6.349815,1,0,0,2,1.000749,2,1.000749
0,10_12,12_55_56,7.354106,1,0,0,2,1.000444,5,1.000444
0,10_12,12_55_57,8.360169,1,0,0,2,1.001975,4,1.001975
0,10_12,12_55_58,9.36667,1,0,0,2,1.001522,5,1.001522
0,10_12,12_55_59,10.37416,1,0,0,2,1.002474,1,1.002474
0,10_12,12_56_0,11.37842,1,0,0,2,1.000107,1,1.000107
0,10_12,12_56_1,12.3844,1,0,0,2,1.00064,4,1.00064
0,10_12,12_56_2,13.38964,1,0,0,2,1.000764,5,1.000764
0,10_12,12_56_3,14.39533,1,0,0,2,1.000577,2,1.000577
0,10_12,12_56_4,15.39987,1,0,0,2,1.000354,0,1.000354
0,10_12,12_56_5,16.4058,1,0,0,2,1.00199,2,1.00199
0,10_12,12_56_6,17.41136,1,0,0,2,1.000532,1,1.000532
0,10_12,12_56_7,18.41616,1,0,0,2,1.000517,1,1.000517
0,10_12,12_56_8,19.4202,1,0,0,2,1.000166,2,1.000166
0,10_12,12_56_9,20.42521,1,0,0,2,1.000019,3,1.000019
0,10_12,12_56_10,21.42976,1,0,0,2,1.000483,3,1.000483
0,10_12,12_56_11,22.4367,1,0,0,2,1.001711,4,1.001711
0,10_12,12_56_12,23.44233,1,0,0,2,1.001177,1,1.001177
0,10_12,12_56_13,24.4478,1,0,0,2,1.000889,5,1.000889
0,10_12,12_56_14,25.45489,1,0,0,2,1.002264,0,1.002264
0,10_12,12_56_15,26.46103,1,0,0,2,1.001268,2,1.001268
0,10_12,12_56_16,27.46684,1,0,0,2,1.001286,4,1.001286
0,10_12,12_56_17,28.47367,1,0,0,2,1.002495,5,1.002495
0,10_12,12_56_18,29.47983,1,0,0,2,1.00177,1,1.00177
0,10_12,12_56_19,30.48626,1,0,0,2,1.001202,3,1.001202
0,10_12,12_56_20,31.49149,1,0,0,2,1.000341,0,1.000341
0,10_12,12_56_21,32.49624,1,0,0,2,1.000082,1,1.000082
0,10_12,12_56_22,33.50293,1,0,0,2,1.002586,3,1.002586
0,10_12,12_56_23,34.50893,1,0,0,2,1.001667,0,1.001667
0,10_12,12_56_24,35.51337,1,0,0,2,1.000366,3,1.000366
0,10_12,12_56_25,36.52071,1,0,0,2,1.002335,4,1.002335
0,10_12,12_56_26,37.52767,1,0,0,2,1.002506,4,1.002506
0,10_12,12_56_27,38.53292,1,0,0,2,1.000248,5,1.000248
0,10_12,12_56_28,39.53859,1,0,0,2,1.001205,2,1.001205
0,10_12,12_56_29,40.54551,1,0,0,2,1.00198,0,1.00198
0,10_12,12_56_30,41.55165,1,0,0,2,1.001183,4,1.001183
0,10_12,12_56_31,42.56034,1,0,0,2,1.002522,5,1.002522
0,10_12,12_56_32,43.56603,1,0,0,2,1.001228,3,1.001228
0,10_12,12_56_33,44.573,1,0,0,2,1.002331,3,1.002331
0,10_12,12_56_34,45.57746,1,0,0,2,1.000042,2,1.000042
0,10_12,12_56_35,46.58185,1,0,0,2,1.000519,1,1.000519
