SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,Target_Location,Target_Duration
0,10_17,17_7_22,11.54646,1,0,0,2,1.010645,2,1.010645
0,10_17,17_7_23,12.56799,1,0,0,2,1.01039,5,1.01039
0,10_17,17_7_24,13.59012,1,0,0,2,1.010547,2,1.010547
0,10_17,17_7_25,14.61176,1,0,0,2,1.010082,3,1.010082
0,10_17,17_7_26,15.63373,1,0,0,2,1.010821,3,1.010821
0,10_17,17_7_27,16.6551,1,0,0,2,1.010417,3,1.010417
0,10_17,17_7_28,17.67657,1,0,0,2,1.009983,1,1.009983
0,10_17,17_7_29,18.69653,1,0,0,2,1.008589,4,1.008589
0,10_17,17_7_30,19.70922,1,0,0,2,1.001446,2,1.001446
0,10_17,17_7_31,20.73154,1,0,0,2,1.010782,2,1.010782
0,10_17,17_7_32,21.75288,1,0,0,2,1.010374,2,1.010374
0,10_17,17_7_33,22.77491,1,0,0,2,1.01058,0,1.01058
0,10_17,17_7_34,23.79682,1,0,0,2,1.010626,3,1.010626
0,10_17,17_7_35,24.81844,1,0,0,2,1.009356,0,1.009356
0,10_17,17_7_36,25.8388,1,0,0,2,1.008987,5,1.008987
0,10_17,17_7_37,26.85137,1,0,0,2,1.000692,4,1.000692
0,10_17,17_7_38,27.87285,1,0,0,2,1.010317,0,1.010317
0,10_17,17_7_39,28.895,1,0,0,2,1.010923,5,1.010923
