SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,Target_Location,Target_Duration
0,10_12,13_29_43,6.50238,1,0,0,2,1.009953,5,1.009953
0,10_12,13_29_44,7.524144,1,0,0,2,1.010719,2,1.010719
0,10_12,13_29_45,8.546005,1,0,0,2,1.010706,1,1.010706
0,10_12,13_29_46,9.567708,1,0,0,2,1.010484,3,1.010484
0,10_12,13_29_47,10.58933,1,0,0,2,1.010467,2,1.010467
0,10_12,13_29_48,11.60099,1,0,0,2,1.000553,0,1.000553
0,10_12,13_29_49,12.62166,1,0,0,2,1.009866,0,1.009866
0,10_12,13_29_50,13.64351,1,0,0,2,1.009399,1,1.009399
0,10_12,13_29_52,14.6656,1,0,0,2,1.011064,1,1.011064
0,10_12,13_29_53,15.6871,1,0,0,2,1.010853,3,1.010853
0,10_12,13_29_54,16.70891,1,0,0,2,1.010803,5,1.010803
0,10_12,13_29_55,17.73115,1,0,0,2,1.011154,3,1.011154
0,10_12,13_29_56,18.7525,1,0,0,2,1.010729,3,1.010729
0,10_12,13_29_57,19.77184,1,0,0,2,1.00823,0,1.00823
0,10_12,13_29_58,20.79212,1,0,0,2,1.00955,0,1.00955
0,10_12,13_29_59,21.80653,1,0,0,2,1.003174,5,1.003174
0,10_12,13_30_0,22.82847,1,0,0,2,1.010464,4,1.010464
0,10_12,13_30_1,23.85037,1,0,0,2,1.010706,1,1.010706
0,10_12,13_30_2,24.8719,1,0,0,2,1.010386,3,1.010386
0,10_12,13_30_3,25.89392,1,0,0,2,1.010914,4,1.010914
0,10_12,13_30_4,26.91536,1,0,0,2,1.009735,0,1.009735
0,10_12,13_30_5,27.93728,1,0,0,2,1.01009,0,1.01009
0,10_12,13_30_6,28.95913,1,0,0,2,1.010695,3,1.010695
0,10_12,13_30_7,29.98149,1,0,0,2,1.011034,0,1.011034
0,10_12,13_30_8,30.99208,1,0,0,2,1.000088,1,1.000088
0,10_12,13_30_9,32.01313,1,0,0,2,1.009933,2,1.009933
0,10_12,13_30_10,33.03506,1,0,0,2,1.010815,0,1.010815
0,10_12,13_30_11,34.06086,1,0,0,2,1.014526,3,1.014526
0,10_12,13_30_12,35.07323,1,0,0,2,1.006756,2,1.006756
0,10_12,13_30_13,36.08928,1,0,0,2,1.004715,3,1.004715
0,10_12,13_30_14,37.11092,1,0,0,2,1.010433,2,1.010433
0,10_12,13_30_15,38.13314,1,0,0,2,1.011105,5,1.011105
0,10_12,13_30_16,39.15428,1,0,0,2,1.010056,0,1.010056
0,10_12,13_30_17,40.1761,1,0,0,2,1.010754,3,1.010754
0,10_12,13_30_18,41.19809,1,0,0,2,1.010567,1,1.010567
0,10_12,13_30_19,42.21973,1,0,0,2,1.010487,4,1.010487
0,10_12,13_30_20,43.24176,1,0,0,2,1.010979,2,1.010979
0,10_12,13_30_21,44.26364,1,0,0,2,1.011002,3,1.011002
0,10_12,13_30_22,45.2849,1,0,0,2,1.010723,2,1.010723
0,10_12,13_30_23,46.30691,1,0,0,2,1.010887,4,1.010887
0,10_12,13_30_24,47.32861,1,0,0,2,1.010319,3,1.010319
0,10_12,13_30_25,48.35044,1,0,0,2,1.010277,4,1.010277
0,10_12,13_30_26,49.37231,1,0,0,2,1.010647,4,1.010647
0,10_12,13_30_27,50.39371,1,0,0,2,1.010334,3,1.010334
0,10_12,13_30_28,51.41561,1,0,0,2,1.010445,0,1.010445
0,10_12,13_30_29,52.43746,1,0,0,2,1.010403,5,1.010403
0,10_12,13_30_30,53.4593,1,0,0,2,1.010681,5,1.010681
0,10_12,13_30_31,54.48087,1,0,0,2,1.010429,3,1.010429
0,10_12,13_30_32,55.50266,1,0,0,2,1.010681,5,1.010681
0,10_12,13_30_33,56.52444,1,0,0,2,1.010654,4,1.010654
0,10_12,13_30_34,57.54627,1,0,0,2,1.010666,0,1.010666
0,10_12,13_30_35,58.56824,1,0,0,2,1.011162,1,1.011162
0,10_12,13_30_36,59.58957,1,0,0,2,1.010429,3,1.010429
0,10_12,13_30_37,60.60823,1,0,0,2,1.007423,4,1.007423
0,10_12,13_30_38,61.6223,1,0,0,2,1.002399,3,1.002399
